cleanup_priority,priority_reason,series,issue_number,comic,run_status,collection_status,current_story,suggested_metadata_arc,suggested_story_title,suggested_part_label,suggested_metadata_role,suggestion_source,decision_id,decision_status,suggested_next_action
High,Owned issue in configured run needs story metadata.,Batman,410,Batman #410,owned,Yes,TBC,,,,,needs_research,META-BATMAN-410,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,411,Batman #411,owned,Yes,TBC,,,,,needs_research,META-BATMAN-411,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,414,Batman #414,owned,Yes,TBC,,,,,needs_research,META-BATMAN-414,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,416,Batman #416,owned,Yes,TBC,,,,,needs_research,META-BATMAN-416,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,419,Batman #419,owned,Yes,TBC,,,,,needs_research,META-BATMAN-419,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,420,Batman #420,owned,Yes,TBC,,,,,needs_research,META-BATMAN-420,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,421,Batman #421,owned,Yes,TBC,,,,,needs_research,META-BATMAN-421,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,446,Batman #446,owned,Yes,TBC,,,,,needs_research,META-BATMAN-446,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,447,Batman #447,owned,Yes,TBC,,,,,needs_research,META-BATMAN-447,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,458,Batman #458,owned,Yes,TBC,,,,,needs_research,META-BATMAN-458,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,459,Batman #459,owned,Yes,TBC,,,,,needs_research,META-BATMAN-459,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,460,Batman #460,owned,Yes,TBC,,,,,needs_research,META-BATMAN-460,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,461,Batman #461,owned,Yes,TBC,,,,,needs_research,META-BATMAN-461,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,462,Batman #462,owned,Yes,TBC,,,,,needs_research,META-BATMAN-462,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,464,Batman #464,owned,Yes,TBC,,,,,needs_research,META-BATMAN-464,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,466,Batman #466,owned,Yes,TBC,,,,,needs_research,META-BATMAN-466,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
