title,era,first_issue,last_issue,start_date,end_date,boundary_type,boundary_reason,source,confidence,notes
Batman,New Look Batman,164,216,June 1964,November 1969,editorially_significant,Julius Schwartz's first Batman issue was #164 after the Detective Comics #327 New Look launch.,https://en.wikipedia.org/wiki/Batman_%28comic_book%29,verified,Stored as title-level Batman era boundary rather than industry-age boundary.
Detective Comics,New Look Batman,327,394,May 1964,December 1969,editorially_significant,Detective Comics #327 premiered the New Look Batman direction under Julius Schwartz.,https://en.wikipedia.org/wiki/Julius_Schwartz,verified,Useful future boundary for Silver/New Look mapping.
Batman,Bronze Age Batman,217,403,December 1969,January 1987,item_convention,"Dick Grayson leaves for college and Bruce Wayne leaves Wayne Manor in Batman #217, immediately before the O'Neil/Adams Detective #395 tonal shift.",https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Defensible Library Batman-specific boundary; not claimed as universal consensus.
Detective Comics,Bronze Age Batman,395,567,January 1970,October 1986,item_convention,Detective Comics #395 is the first O'Neil/Adams darker Batman story often cited as signaling the Bronze Age Batman turn; #567 is the final pre-Modern local Detective issue in the current convention.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,"Ends before Detective #568, which is used as the Modern local Detective start."
The Brave and the Bold,Bronze Age Batman,74,200,November 1967,July 1983,item_convention,The Brave and the Bold became exclusively a Batman team-up title from #74 through its final issue #200; Bronze report treats #74-200 as the useful Batman-led physical run.,https://en.wikipedia.org/wiki/The_Brave_and_the_Bold,verified,"Start predates broad industry Bronze, so industry_age per issue remains approximate."
World's Finest Comics,Bronze Age Batman,,,1970,1986,approximate,World's Finest contains relevant Batman/Superman material but needs issue-level Batman relevance audit before a required scope is created.,https://en.wikipedia.org/wiki/List_of_Batman_comics,needs_research,"Kept as boundary backlog, not counted in Bronze core completion."
Batman Family,Bronze Age Batman,1,20,September-October 1975,October-November 1978,verified_publication_run,Batman Family ran #1-20 as a Bat-family anthology and then merged into Detective Comics #481-495 as a feature format.,https://en.wikipedia.org/wiki/Batman_Family,verified,Physical run target even when content includes reprints.
Batman and the Outsiders,Bronze Age Batman,1,32,August 1983,April 1986,verified_publication_run,"Batman-led Outsiders title ran #1-32; after Batman left, the title changed to Adventures of the Outsiders with #33.",https://en.wikipedia.org/wiki/Outsiders_%28comics%29,verified,Collector target stops at Batman-led run.
Batman,Modern local Era,404,574,February 1987,December 1999,item_convention,"Batman #404 begins Year One, the existing Library Modern local Batman range.",https://en.wikipedia.org/wiki/Batman%3A_Year_One,verified,Existing range retained.
Detective Comics,Modern local Era,568,741,November 1986,February 2000,item_convention,Detective Comics #568 is the existing Library Modern local Detective start after the pre-Crisis/Bronze boundary.,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Existing range retained; exact post-Crisis transition can be refined later.
