source_pattern,destination_prefix,include_reason
README.md,.,Project overview and commands.
reference_database_version.txt,.,Reference database version marker.
docs/*.md,docs,Project documentation.
data/reference/collecting_strategy.csv,data/reference,Collecting rules without private order ledger data.
data/reference/collection_areas.csv,data/reference,Collection area labels.
data/reference/series_run_ranges.csv,data/reference,Configured collecting ranges.
data/reference/event_checklists.csv,data/reference,Event reading-order/checklist source data.
data/reference/story_arc_checklists.csv,data/reference,Story arc reading-order/checklist source data.
data/reference/focused_report_sets.csv,data/reference,Focused report configuration.
data/reference/character_focus_sets.csv,data/reference,Character focus report configuration.
data/reference/hidden_gotham.csv,data/reference,Hidden Gotham seed data.
data/reference/issue_metadata.csv,data/reference,Issue metadata source data.
data/reference/story_metadata_decisions.csv,data/reference,Curated story metadata decisions.
data/reference/facsimiles_batman.csv,data/reference,Facsimile checklist/source data.
data/reference/publications.csv,data/reference,Publication model source data.
data/reference/publication_contents.csv,data/reference,Publication contents source data.
data/reference/public_mirror_files.csv,data/reference,Public mirror export manifest.
reports/chatgpt_handoff.md,reports,Compact handoff pack for GPT Classic.
reports/privacy_audit.csv,reports,Latest privacy audit result.
reports/wanted_items.csv,reports,Consolidated watch/want list without raw order ledger fields.
reports/batman_range_wantlist.csv,reports,Batman/Detective practical missing list.
reports/series_run_summary.csv,reports,Series run coverage summary.
reports/series_run_gaps.csv,reports,Series run gap summary.
reports/series_run_issues.csv,reports,Issue-level configured run status.
reports/series_run_missing_issues.csv,reports,Issue-level missing configured run status.
reports/series_run_metadata_gaps.csv,reports,Metadata gaps for configured runs.
reports/story_arc_summary.csv,reports,Story arc coverage summary.
reports/story_arc_inventory.csv,reports,Story labels present in collection.
reports/story_arc_missing.csv,reports,Curated story arc gaps.
reports/story_arc_contagion_checklist.csv,reports,Contagion checklist output.
reports/story_arc_legacy_checklist.csv,reports,Legacy checklist output.
reports/story_arc_long_halloween_family_checklist.csv,reports,Long Halloween family checklist output.
reports/event_zero_hour_checklist.csv,reports,Zero Hour checklist output.
reports/event_bloodlines_checklist.csv,reports,Bloodlines checklist output.
reports/event_missing.csv,reports,Event gaps.
reports/event_owned.csv,reports,Event owned/readable status.
reports/knightfall_to_knightsend_report.csv,reports,Knightfall through Knightsend focused report.
reports/zero_hour_report.csv,reports,Zero Hour focused report.
reports/bloodlines_report.csv,reports,Bloodlines focused report.
reports/contagion_report.csv,reports,Contagion focused report.
reports/legacy_report.csv,reports,Legacy focused report.
reports/long_halloween_family_report.csv,reports,Long Halloween family focused report.
reports/focused_report_summary.csv,reports,Focused report summary.
reports/catwoman_focus.csv,reports,Catwoman focus report.
reports/character_focus_summary.csv,reports,Character focus summary.
reports/hidden_gotham_checklist.csv,reports,Hidden Gotham checklist output.
reports/readable_stories.csv,reports,Readable story coverage.
reports/original_issues_still_wanted.csv,reports,Original issues still wanted despite collection coverage.
reports/collections_owned.csv,reports,Owned collected editions and graphic novels.
reports/publication_coverage.csv,reports,Publication model story coverage.
reports/facsimiles_missing.csv,reports,Missing facsimile report.
reports/facsimiles_shopping_priority.csv,reports,Facsimile shopping priority.
reports/facsimiles_existence_to_confirm.csv,reports,Facsimile existence/source confirmation queue.
reports/facsimiles_needs_ownership_confirmation.csv,reports,Facsimile ownership confirmation queue.
reports/owned_facsimiles.csv,reports,Owned facsimile status.
reports/story_metadata_work_queue.csv,reports,Story metadata work queue.
reports/story_metadata_backfill_candidates.csv,reports,Story metadata backfill candidates.
reports/story_metadata_cleanup_summary.csv,reports,Story metadata cleanup summary.
reports/story_metadata_authority_summary.csv,reports,Story metadata authority summary.
reports/story_metadata_authority_valid.csv,reports,Story metadata authority valid rows.
reports/story_metadata_authority_needs_review.csv,reports,Story metadata authority review rows.
reports/story_metadata_authority_conflicts.csv,reports,Story metadata authority conflicts.
reports/story_metadata_inbox_summary.csv,reports,Story metadata inbox summary.
reports/story_metadata_inbox_valid.csv,reports,Story metadata inbox valid rows.
reports/story_metadata_inbox_needs_review.csv,reports,Story metadata inbox review rows.
reports/story_metadata_inbox_conflicts.csv,reports,Story metadata inbox conflicts.
